Connector;name
I1;Rollo WZ rauf
I2;Rollo WZ runter
I3;Rollo  rauf
I4;Rollo  runter
I5;Rollo  rauf
I6;Rollo  runter
I7;Rollo  rauf
I8;Rollo  runter
I9;Rollo  rauf
I10;Rollo  runter
I11;Rollo  rauf
I12;Rollo  runter
I13;Rollo  rauf
I14;Rollo  runter
I15;Rollo  rauf
I16;Rollo  runter
I17;Rollo  rauf
I18;Rollo  runter
I19;I 02/19
I20;I 02/20
I21;I 02/21
I22;I 02/22
I23;I 02/23
I24;I 02/24
NI1;Rollo WZ rauf
NI2;Rollo WZ runter
NI3;Rollo  rauf
NI4;Rollo  runter
NI5;Rollo  rauf
NI6;Rollo  runter
NI7;Rollo  rauf
NI8;Rollo  runter
NI9;Rollo  rauf
NI10;Rollo  runter
NI11;Rollo  rauf
NI12;Rollo  runter
NI13;Rollo  rauf
NI14;Rollo  runter
NI15;Rollo  rauf
NI16;Rollo  runter
NI17;102.0
NI18;102.1
NI19;102.2
NI20;102.3
NI21;102.4
NI22;102.5
NI23;Alle Lichter EIN
NI24;Alle Lichter AUS
NI25;103.0
NI26;103.1
NI27;103.2
NI28;103.3
NI29;103.4
NI30;103.5
NI31;103.6
NI32;103.7
NI33;104.0
NI34;104.1
NI35;104.2
NI36;104.3
NI37;104.4
NI38;104.5
NI39;104.6
NI40;104.7
NI41;205.0
NI42;205.1
NI43;205.2
NI44;205.3
NI45;205.4
NI46;205.5
NI47;205.6
NI48;205.7
NI49;206.0
NI50;206.1
NI51;206.2
NI52;206.3
NI53;206.4
NI54;206.5
NI55;206.6
NI56;206.7
NI57;207.0
NI58;207.1
NI59;207.2
NI60;207.3
NI61;207.4
NI62;207.5
NI63;207.6
NI64;207.7
NAI1;248
NAI2;250
NAI3;252
NAI4;254
NAI5;256
NAI6;258
NAI7;260
NAI8;262
NAI9;264
NAI10;266
NAI11;268
NAI12;270
NAI13;272
NAI14;274
NAI15;276
NAI16;278
NAI17;280
NAI18;282
NAI19;284
NAI20;286
NAI21;288
NAI22;290
NAI23;292
NAI24;294
NAI25;296
NAI26;298
NAI27;2xx
NAI28;2xx
NAI29;2xx
NAI30;2xx
NAI31;2xx
NAI32;2xx
C1;C 02/01
C2;C 02/02
C3;C 02/03
C4;C 02/04
F1;F 02/01
F2;F 02/02
F3;F 02/03
F4;F 02/04
S1.1;S1.1- 02/01
S1.2;S1.2- 02/02
S1.3;S1.3- 02/03
S1.4;S1.4- 02/04
S1.5;S1.5- 02/05
S1.6;S1.6- 02/06
S1.7;S1.7- 02/07
S1.8;S1.8- 02/08
S2.1;S2.1- 02/09
S2.2;S2.2- 02/10
S2.3;S2.3- 02/11
S2.4;S2.4- 02/12
S2.5;S2.5- 02/13
S2.6;S2.6- 02/14
S2.7;S2.7- 02/15
S2.8;S2.8- 02/16
S3.1;S3.1- 02/17
S3.2;S3.2- 02/18
S3.3;S3.3- 02/19
S3.4;S3.4- 02/20
S3.5;S3.5- 02/21
S3.6;S3.6- 02/22
S3.7;S3.7- 02/23
S3.8;S3.8- 02/24
S4.1;S4.1- 02/25
S4.2;S4.2- 02/26
S4.3;S4.3- 02/27
S4.4;S4.4- 02/28
S4.5;S4.5- 02/29
S4.6;S4.6- 02/30
S4.7;S4.7- 02/31
S4.8;S4.8- 02/32
AI1;AI 02/01
AI2;AI 02/02
AI3;AI 02/03
AI4;AI 02/04
AI5;AI 02/05
AI6;AI 02/06
AI7;AI 02/07
AI8;AI 02/08
Q1;Rollo WZ rauf
Q2;Rollo WZ runter
Q3;Rollo  rauf
Q4;Rollo  runter
Q5;Rollo  rauf
Q6;Rollo  runter
Q7;Rollo  rauf
Q8;Rollo  runter
Q9;Rollo  rauf
Q10;Rollo  runter
Q11;Rollo  rauf
Q12;Rollo  runter
Q13;Rollo  rauf
Q14;Rollo  runter
Q15;Rollo  rauf
Q16;Rollo  runter
Q17;Q 02/17
Q18;Q 02/18
Q19;Q 02/19
Q20;Q 02/20
AQ1;AQ 02/01
AQ2;AQ 02/02
AQ3;AQ 02/03
AQ4;AQ 02/04
AQ5;AQ 02/05
AQ6;AQ 02/06
AQ7;AQ 02/07
AQ8;AQ 02/08
X1;X 02/01
X2;X 02/02
X3;X 02/03
X4;X 02/04
X5;X 02/05
X6;X 02/06
X7;X 02/07
X8;X 02/08
X9;X 02/09
X10;X 02/10
X11;X 02/11
X12;X 02/12
X13;X 02/13
X14;X 02/14
X15;X 02/15
X16;X 02/16
X17;X 02/17
X18;X 02/18
X19;X 02/19
X20;X 02/20
X21;X 02/21
X22;X 02/22
X23;X 02/23
X24;X 02/24
X25;X 02/25
X26;X 02/26
X27;X 02/27
X28;X 02/28
X29;X 02/29
X30;X 02/30
X31;X 02/31
X32;X 02/32
X33;X 02/33
X34;X 02/34
X35;X 02/35
X36;X 02/36
X37;X 02/37
X38;X 02/38
X39;X 02/39
X40;X 02/40
X41;X 02/41
X42;X 02/42
X43;X 02/43
X44;X 02/44
X45;X 02/45
X46;X 02/46
X47;X 02/47
X48;X 02/48
X49;X 02/49
X50;X 02/50
X51;X 02/51
X52;X 02/52
X53;X 02/53
X54;X 02/54
X55;X 02/55
X56;X 02/56
X57;X 02/57
X58;X 02/58
X59;X 02/59
X60;X 02/60
X61;X 02/61
X62;X 02/62
X63;X 02/63
X64;X 02/64
NQ1;208.0
NQ2;208.1
NQ3;208.2
NQ4;208.3
NQ5;208.4
NQ6;208.5
NQ7;208.6
NQ8;208.7
NQ9;209.0
NQ10;209.1
NQ11;209.2
NQ12;209.3
NQ13;209.4
NQ14;209.5
NQ15;209.6
NQ16;209.7
NQ17;210.0
NQ18;210.1
NQ19;210.2
NQ20;210.3
NQ21;210.4
NQ22;210.5
NQ23;210.6
NQ24;210.7
NQ25;211.0
NQ26;211.1
NQ27;211.2
NQ28;211.3
NQ29;211.4
NQ30;211.5
NQ31;211.6
NQ32;211.7
NQ33;212.0
NQ34;212.1
NQ35;212.2
NQ36;212.3
NQ37;212.4
NQ38;212.5
NQ39;212.6
NQ40;212.7
NQ41;213.0
NQ42;213.1
NQ43;213.2
NQ44;213.3
NQ45;213.4
NQ46;213.5
NQ47;213.6
NQ48;213.7
NQ49;214.0
NQ50;214.1
NQ51;214.2
NQ52;214.3
NQ53;214.4
NQ54;214.5
NQ55;214.6
NQ56;214.7
NQ57;215.0
NQ58;215.1
NQ59;215.2
NQ60;215.3
NQ61;215.4
NQ62;215.5
NQ63;215.6
NQ64;215.7
NAQ1;216
NAQ2;218
NAQ3;220
NAQ4;222
NAQ5;224
NAQ6;226
NAQ7;228
NAQ8;230
NAQ9;232
NAQ10;234
NAQ11;236
NAQ12;238
NAQ13;240
NAQ14;242
NAQ15;244
NAQ16;246
